features
addr_state
annual_inc
annual_inc_joint
application_type
desc
fico_range_high
fico_range_low
home_ownership
initial_list_status
installment
int_rate
issue_d
loan_amnt
loan_status
member_id
num_bc_sats
num_bc_tl
num_il_tl
num_op_rev_tl
num_rev_accts
num_rev_tl_bal_gt_0
num_sats
open_acc
pub_rec
pub_rec_bankruptcies
purpose
revol_bal
revol_util
sub_grade
term
tot_coll_amt
tot_cur_bal
tot_hi_cred_lim
total_acc
verification_status
verification_status_joint
revol_bal_joint
sec_app_fico_range_low
sec_app_fico_range_high
sec_app_earliest_cr_line
sec_app_inq_last_6mths
sec_app_mort_acc
sec_app_open_acc
sec_app_revol_util
sec_app_open_act_il
sec_app_num_rev_accts
sec_app_chargeoff_within_12_mths
sec_app_collections_12_mths_ex_med
sec_app_mths_since_last_major_derog
disbursement_method
